ssc_code16,ssc_name16,schools
21837,Murrumbeena,2
21838,Murtoa,2
21847,Myrniong,1
21848,Myrrhee,1
21851,Myrtleford,3
21855,Nagambie,2
21858,Nambrok,1
21862,Nangiloc,1
21863,Nanneella,1
21865,Napoleons,1
21866,Nar Nar Goon,2
21877,Narracan,1
21880,Narrawong,1
21881,Narre Warren,7
21883,Narre Warren North,2
21884,Narre Warren South,5
21886,Nathalia,4
21887,Natimuk,1
21888,Natte Yallock,1
21890,Navarre,1
21892,Nayook,1
21899,Neerim South,2
21905,Nerrina,1
21910,Newborough,4
21913,Newcomb,3
21909,New Gisborne,3
21915,Newham,1
21916,Newhaven,2
21917,Newington (Vic.),3
21919,Newlyn,1
21921,Newmerella,1
21922,Newport (Vic.),4
21924,Newstead (Vic.),1
21926,Newtown (Greater Geelong - Vic.),8
21927,Nhill,3
21929,Nicholson (Vic.),1
21928,Nichols Point,1
21930,Niddrie,2
21931,Nilma,1
21940,Noble Park,8
21941,Noble Park North,3
21942,Noojee,1
21943,Noorat,1
21945,Noorinbee,1
21948,Norlane,1
21951,North Bendigo,2
21959,Northcote,6
21954,North Melbourne,4
21963,Nowa Nowa,1
21969,Nullawarre,1
21971,Nullawil,1
21972,Numurkah,3
21973,Nunawading,3
21974,Nungurner,1
21981,Nyah West,1
21984,Nyora (Vic.),1
21988,Oakleigh,3
21989,Oakleigh East,1
21990,Oakleigh South,3
21986,Oak Park,2
21993,Ocean Grove,3
21994,Officer,3
21997,Olinda (Vic.),1
21999,Omeo,1
22002,Orbost,4
22004,Ormond,6
22005,Orrvale,1
22006,Osbornes Flat,1
22008,Ouyen,1
22010,Oxley (Vic.),1
22015,Pakenham,9
22019,Panmure,1
22020,Panton Hill,1
22025,Parkdale,3
22024,Park Orchards,2
22026,Parkville (Vic.),3
22029,Pascoe Vale,5
22030,Pascoe Vale South,1
22035,Patterson Lakes,1
22037,Paynesville (Vic.),1
22038,Pearcedale,1
22044,Penshurst (Vic.),2
22053,Piangil,1
22074,Point Cook,7
22076,Point Lonsdale,1
22082,Pomonal,1
22086,Poowong,1
22090,Porepunkah,1
22097,Portarlington,1
22093,Port Fairy,2
22099,Portland North,1
22098,Portland (Vic.),8
22095,Port Melbourne,2
22106,Prahran,1
22109,Preston (Vic.),11
22110,Princes Hill,2
22112,Puckapunyal,1
22117,Pyalong,1
22118,Pyramid Hill,2
22119,Quambatook,1
22122,Quarry Hill,2
22123,Queenscliff (Vic.),2
22125,Rainbow,1
22132,Rawson,1
22134,Raywood,1
22139,Redan,1
22135,Red Cliffs,5
22142,Redesdale,1
22136,Red Hill (Vic.),1
22148,Research,2
22149,Reservoir (Vic.),13
